index,docid,url,title,author,type
0,1,https://www.deeplearningbook.org/,Deep Learning,"Ian Goodfellow, Yoshua Bengio, Aaron Courville",Book
1,2,https://cs229.stanford.edu/lectures-spring2022/main_notes.pdf,CS229 Lecture Notes,"Andrew Ng, Tengyu Ma",Notes
